Latitude,Longitude,Name
34.0123846,71.5787458,Peshawar
34.0026327,71.3356322,"Jamrud, Pakistan"
34.5260131,69.1776476,Kabul
33.7680065,66.2385139,Afghanistan
37.3351902,-121.8812255,San Jose State
51.4477037,5.9660693,America
38.5134811,-122.1047011,Northern California
34.5185163,69.1937723,Ghazi Stadium
33.75,66.0,Hazarajat
30.3308401,71.247499,Pakistan
32.6475314,54.5643516,Iran
34.75,67.25,Bamiyan
34.5333737,69.1669194,Shar e Naw
28.5062688,84.3590449,Karteh Seh
34.120723,71.1016176,Torkham
34.220389,70.3800314,Nangarhar
34.5561422,69.47927,Mahipar
34.3941976,70.5485459,Kabul River
53.7368873,-0.3642388,Darulaman Boulevard
35.7006177,51.4013785,Tehran
34.5202085,69.179938,Pashtunistan Square
34.5374388,69.1823989,Wazir Akbar Khan
33.6938118,73.0651511,Islamabad
33.7606137,73.0244561,Margalla Hills
33.7299852,73.0373555,Shah Faisal Mosque
33.5914237,73.0535122,Rawalpindi
-1.91667,31.25,Ghargha Lake
37.5482697,-121.9885719,Fremont
42.4614099,-87.8211836,Lake Elizabeth Park
37.7884969,-122.3558473,Bay Area
46.0193462,-60.372133,East Bay
